1900,855
1910,4746
1920,6491
1930,6685
1940,12766
1950,37338
1960,60430
1970,131135
1980,125438
1990,180054
2000,244486
2001,254592
2002,269159
2003,229404
2004,225388
2005,220436
2006,218816
2007,255297
2008,262241
2009,268073
