Instituto Universitario Asociacion Psicoanalitica del Uruguay,2009,0
Instituto Universitario Monseñor Mariano Soler,1996,0
Instituto Universitario Monseñor Mariano Soler,1997,0
Instituto Universitario Monseñor Mariano Soler,1998,0
Instituto Universitario Monseñor Mariano Soler,1999,0
Instituto Universitario Monseñor Mariano Soler,2000,0
Instituto Universitario Monseñor Mariano Soler,2001,0
Instituto Universitario Monseñor Mariano Soler,2002,0
Instituto Universitario Monseñor Mariano Soler,2003,0
Instituto Universitario Monseñor Mariano Soler,2004,59
Instituto Universitario Monseñor Mariano Soler,2005,65
Instituto Universitario Monseñor Mariano Soler,2006,50
Instituto Universitario Monseñor Mariano Soler,2007,72
Instituto Universitario Monseñor Mariano Soler,2008,54
Instituto Universitario Monseñor Mariano Soler,2009,50
Instituto Universitario Francisco de Asis,1996,0
Instituto Universitario Francisco de Asis,1997,0
Instituto Universitario Francisco de Asis,1998,0
Instituto Universitario Francisco de Asis,1999,0
Instituto Universitario Francisco de Asis,2000,0
Instituto Universitario Francisco de Asis,2001,0
Instituto Universitario Francisco de Asis,2002,0
Instituto Universitario Francisco de Asis,2003,0
Instituto Universitario Francisco de Asis,2004,0
Instituto Universitario Francisco de Asis,2005,83
Instituto Universitario Francisco de Asis,2006,161
Instituto Universitario Francisco de Asis,2007,202
Instituto Universitario Francisco de Asis,2008,175
Instituto Universitario Francisco de Asis,2009,237
Instituto Universitario Bios,1996,0
Instituto Universitario Bios,1997,0
Instituto Universitario Bios,1998,0
Instituto Universitario Bios,1999,0
Instituto Universitario Bios,2000,0
Instituto Universitario Bios,2001,0
Instituto Universitario Bios,2002,0
Instituto Universitario Bios,2003,0
Instituto Universitario Bios,2004,0
Instituto Universitario Bios,2005,157
Instituto Universitario Bios,2006,0
Instituto Universitario Bios,2007,52
Instituto Universitario Bios,2008,113
Instituto Universitario Bios,2009,60
Instituto Universitario CEDIAP,1996,0
Instituto Universitario CEDIAP,1997,0
Instituto Universitario CEDIAP,1998,0
Instituto Universitario CEDIAP,1999,0
Instituto Universitario CEDIAP,2000,0
Instituto Universitario CEDIAP,2001,34
Instituto Universitario CEDIAP,2002,50
Instituto Universitario CEDIAP,2003,49
Instituto Universitario CEDIAP,2004,0
Instituto Universitario CEDIAP,2005,0
Instituto Universitario CEDIAP,2006,0
Instituto Universitario CEDIAP,2007,0
Instituto Universitario CEDIAP,2008,0
Instituto Universitario CEDIAP,2009,145
